label_id,label_name
750,Virgin
69,Yoshitoshi Recordings
311,One Little Indian
1000,Warner Bros. Records
1481,Pure Plastic
4191,Q-Records
1464,Potential
687,Eye Q Records
2967,BXR
1640,KK Traxx
174588,Lection Records
4727,StreetBeat Records
102,Spymania
4933,Koch Records
980200,Vanity Press Records
1866,Columbia
142449,Noble Square Recordings
904,A&M Records
109,Ninja Tune
567852,LPH WHITE
891933,People Of Earth
56060,Activ-Analog Records
245,R & S Records
692469,89:GHOST
52010,Hector Works
56060,Activ-Analog Records
42,Viva!
156811,Emergency Umbrella Records
852921,Sounds Of The City (3)
634456,Infuse
114537,Beautiful Granville Records
18203,3am Recordings
23458,Eargasmic Recordings
3938,Goldtone Records
1362188,90's Wax
23528,Warp Records
1866,Columbia
1866,Columbia
26126,EMI
538051,For Those That Knoe
814792,Best Record Italy
217046,Slice-of-Spice
389,Pro-Jex
95,Guidance Recordings
953,Wax Trax! Records
229,Harthouse
194,Matador
814792,Best Record Italy
248727,Bordello A Parigi
27031,Sire
27031,Sire
27031,Sire
67959,Counter Records
852921,Sounds Of The City (3)
761470,Tokyo Wax
1034556,Druzhba
4241,Def Jam Recordings
1270622,Ouvert
1034556,Druzhba
971967,Waxtefacts
269,Force Inc. Music Works
153932,Not On Label (Craig Mack)
739,High Octane Recordings
4,Siesta Music
275,Virus Recordings
1015,Blueprint
2688,Sorted Records
1002,Too Pure
1005,Epic
713785,Obonit
7128,Groove Nation Records
5648,Dirt Style Records
681,Atlantic
158452,4th & Broadway
107577,Digital Disco
13090,Bad Boy Entertainment
13090,Bad Boy Entertainment
26938,Casablanca
157,Reprise Records
33520,UNI Records
1818,Not On Label
2586,Organico
23528,Warp Records
1217,Stones Throw Records
109,Ninja Tune
980200,Vanity Press Records
980200,Vanity Press Records
980200,Vanity Press Records
23528,Warp Records
23528,Warp Records
23528,Warp Records
692469,89:GHOST
895,RCA
11910,Philadelphia International Records
4241,Def Jam Recordings
70430,Blackground Enterprises
609,Strictly Rhythm
84221,Bu-Mako Recordings
19735,Rap-A-Lot Records
314,Dance Mania
12599,Front Page Entertainment
12599,Front Page Entertainment
18203,3am Recordings
11358,RCA Victor
5795,21 Records
4528,Canvas
42451,Dub Society Recording
42451,Dub Society Recording
591525,"The New And ""Untouchable"" Death Row Records"
2186,Jive
750,Virgin
1965,Big Beat
65616,Aus Music
744690,Hhatri
985741,Katnip
1059421,Verdant Recordings
698143,AC-EXP
349159,LateNightTales
22616,Suave House
980200,Vanity Press Records
654,Capitol Records
891933,People Of Earth
13090,Bad Boy Entertainment
2739,Profile Records
878,MCA Records
26011,Tommy Boy
8984,Loud Records
1866,Columbia
1866,Columbia
11424,Pendulum Records
6538,Hot 'N' Spycy
702,OM Records
12820,Area Code Records (2)
1,Planet E
11424,Pendulum Records
1276142,Enclave Records (4)
1276142,Enclave Records (4)
1276142,Enclave Records (4)
1037754,Patterns Of London
1525622,Phone Traxxx
776898,Decay Records (4)
1435556,Pen & Paper
301026,Housewax
324413,Chiwax
260689,Rawax
113785,P&D
221,Classic
589495,Kin-Ben Label
4461,Mr. Disc Organization
130097,Afro Acid Plastik
1475575,Microdrive
1407957,Inkal
