release_id,title,released,styles,label_id,artist_id
1871958,"Series 9, Issue 3",1990,House / Hi NRG / Synth-pop / Disco,7483,194
2462386,The Legendary OKEH & Epic Recordings,2009,Bop / Cool Jazz,1866,164253
1441487,Phylyps Trak,n/a,Techno,255,13117
7982888,Lady Of Sorrows E.P.,2016,House / Disco / Deep House / Nu-Disco,399283,2152713
97937,Gonna Make You Sweat (Everybody Dance Now),1990,House,1866,16622
10040162,Stygian Morass,2017,Techno / Industrial / Electro / IDM,1038611,762870
2550942,Analog Drift,2010,Afro-Cuban / Afrobeat / Soul,94329,604091
7127575,Tied (Remixes),2015,House / Deep House,13612,4269173
11428294,100mph Backsliding Turkey Kuts (25th Anniversary),2017,DJ Battle Tool / Turntablism,5648,122750
10714119,Broken E.P. (Two),2003,Breakcore / Experimental,4644,18472
854696,"Baby ""Come Back""",1988,Freestyle,11641,12223
9600402,Hade Edits,2017,Disco / Nu-Disco / Instrumental,406110,2757000
664768,Frau,2006,Electro / Tech House,46768,475430
9979858,Dynamo And Neutrino,2017,House / Techno,1186191,205812
4473454,Beethoven's Greatest Hits,1984,Romantic / Classical,46453,95544
2496253,Buffalo Gals (Back To Skool),1998,House / Breaks / Electro / Hip Hop,750,24495
4837141,Hiroshima Girls,1985,Alternative Rock,660868,2228727
7052003,Natural Disasters,1985,Indie Rock,660868,2228727
187187,It's Just Another Groove (I Think That We Should Get Back Together),1996,House,1456,7204
9472337,Sound Of Stereo,2016,Techno / House,415,1141
4555522,Rain Forest / Forest Fire,1985,Electro,5991,17743
10350444,Sometimes You Just Know / Too Late To Change The Past ,2017,House / Deep House / Nu-Disco,260592,417688
214403,Dechetirements EP,2003,Rhythmic Noise / Breaks / Hardcore,12998,110076
531614,Tatoo You / Smooth Operator,2002,House / Deep House,135157,19731
11428331,All Star Dirt Style Battle Rebels (25th Anniversary),2017,Instrumental / DJ Battle Tool,5648,176667
481517,Fiddlesticks E.P,2005,Minimal / Tech House,10503,79220
10128598,Diggin' Disco Deep #5,2017,Disco / House,812393,194
165682,Miami Vice (Music From The Television Series),1985,Pop Rock / Soundtrack / Theme / Score / Electro / Synth-pop,878,194
3508333,Streetlife A Hustler's Compilation,1999,Hardcore Hip-Hop / Conscious,114631,194
25564,Definitely,2001,Hard Trance,1184,13796
1649704,Will U Love Me,1992,Deep House,251,27542
5598911, Enforcement ,n/a,Techno,255,579
1855,College Nite,1995,House / Ghetto House,314,2365
11022417,I Would Do It Again EP,2017,Deep House,379248,5545883
130774,Pony,1997,Techno / Tech House,6691,1611
691028,Dunvalo,2006,Techno / Minimal,58595,312762
10775213,Jacques Renault Edits,2017,Disco,406110,531204
6704257,Moving Vision EP,2015,House / Deep House,85383,1079020
267077,Return / Sound Burial,2001,Jungle,17851,202401
11185912,No UFO's,2017,Techno / Electro / House,415,1141
10651614,Jazz Is The Teacher,2017,Techno,415,1141
48487,Space Is The Place,1985,Electro,275530,3867
8100026,Unknown,2015,House,1043401,394775
2179022,Free Your Mind,1996,House / Downtempo,1,3285
244602,Doin Thangs Vol. 2,1996,House / Ghetto,314,251395
10580285,Le Chat,2017,Italo-Disco / Disco,814792,426257
9468663,RWY / ANL,2016,Disco,294966,2641937
5234789,Self Therapy,2013,Techno / IDM / Breaks,46768,2485344
438383,Electric Mayhem 01,1998,Breakbeat / Techno,17337,201612
5409212,Bandura 003,2014,Deep House / Experimental,492752,1157826
10624123,Attitude,2017,House / Deep House,1483015,194
27810,DJ Hyperactive Presents: Chicago Beat Freax,1994,Techno / Acid,1565,194
2054277,Kev Gem's Volume 1,2006,House / Speed Garage,1818,194
916124,Showtyme,2003,Conscious,11668,51549
81331,Crush-Suicide EP,1999,Speedcore / Hardcore / Breakcore,6838,18530
978685,What's That Smell?,1994,Deep House / Downtempo / Trip Hop,131420,70615
6175313,Up Neck EP,2014,Techno / House / Abstract,861095,2088189
9833951,Interpretations,2017,Deep House,65616,874551
614700,The Bad Trip,n/a,Breakbeat / Jungle,56639,68882
7628532,Prescription Underground EP,2015,House / Deep House,1851,49282
4883458,Freshly Ground,2013,Minimal / Tech House,1228,145180
6277613,Uprooted And Rotten,2006,Punk,1818,3296369
1226460,Doowutchyalike,2001,n/a,26011,16761
132316,Snipers At Work,1998,Breakcore,3019,17302
4180400,Trouble,2012,House,1228,398944
6625744,Molar EP,2015,Techno,584083,2562576
6099840,Heaven (Behling & Simpson Remixes),2014,House / Deep House,1824,59
9499229,Your Soul,2016,House / Acid House,769940,323535
779785,The Lost Boys,2006,Drum n Bass,1818,625672
9969209,Seaside Greetings EP,2017,House / Deep House / Downtempo,95692,4053621
2375418,Acid House (Album Sampler B),2010,Techno,32110,459
10318230,One Sound / Myth EP,2017,Techno / Minimal Techno,123159,459
2807275,Returning Wheel (Remixes & Remakes),2003,Techno / Electro / Tech House,3950,98744
13604,Pro Audio,1998,Techno,59,1118
7320738,Sound Effects Volume 25,1980,Special Effects,89539,118760
8194137,Ouroboros,2016,Psychedelic Rock / Folk Rock / Post Rock,895,502002
4207276,Bredow / Damm3,2013,Techno / Minimal / Tech House,538,3057
65589,Disco Nouveau: Addendum,2002,Electro / Synth-pop,3020,194
8085710,How To Kill 004,2016,Techno,602577,194
155858,Idol Tryouts : Ghostly International Vol. 1,2003,Techno / Synth-pop / Minimal,3020,194
4587378,INTHEMIX 1,n/a,n/a,12099,194
298381,Le Nouveau Du Jazz,2001,Broken Beat / Future Jazz / Deep House / Soul / Disco,1575,194
1308576,Tight Up (Unreleased Mixes Volume Two),1994,House / Deep House / Garage House,23367,139783
8287808,We Can Do Anything,2016,Alternative Rock / Indie Rock / Folk Rock,133449,87643
6079480,Impressions,2014,Techno,641587,302965
5468479,My Busted SH-101,2014,Techno,249,26
928799,When She Spoke,2005,House / Deep House,30964,88510
29964,Darkside EP,1994,House / Techno / Acid,1262,870
1847150,Terranaut,1993,Hardcore / Techno / Hard Techno,157878,2896
10435269,Tension,2017,Techno / Abstract / Broken Beat / Industrial,554956,85192
514820,Winterland Sessions,2000,Future Jazz / Downtempo,49205,16377
9952597,Body Reflections Pt.1,2017,Techno / Ambient,59,1844953
6188180,Live Bullet,1978,Rock & Roll / Arena Rock,654,268911
3874632,Happy Vibes Vol. 1,1997,Happy Hardcore,442793,2923812
457840,Damare,2001,Instrumental / Cut-up/DJ,53269,106370
98368,Have A Few... Get Some,2002,Breaks / Abstract / Experimental,4644,82347
240590,Gangsta Rap / How To Kill A Cop,1999,n/a,17544,40433
10085779,Everybody Want Some,2017,Cut-up/DJ / DJ Battle Tool,949865,4813617
10123626,Scratch Mania,2016,DJ Battle Tool / Cut-up/DJ,949865,4813617
565981,To Rococo Rot,1996,Indie Rock / Ambient,3785,435
5698875,The Casual Mystic,2014,Techno,641587,57180
1784325,All Night Long EP 1,2009,Tech House / Minimal,65616,194
1793476,Forming Dies,2009,Techno,237,1360
4467538,Truth & Loss,2013,Juke / Drum n Bass / Dubstep / Deep House,509824,2794103
766540,Acid Tablet EP,2006,Acid House / Deep House / Tech House,969,1029
4840211,She's Hot,2013,Tech House / Techno,246,714621
3042278,Loopstars,n/a,House / Hi NRG / Disco,1818,2368911
597222,True Blue,1986,Synth-pop,27031,8760
1636499,Gun Talk,n/a,Jungle,1818,31219
163086,Words Escape Me!,1991,Hip-House / Downtempo / Hip Hop / House,76273,45187
10023782,Acid Bangin',2017,Acid,417,2641
6071432,The Pick Of... The Platters,1979,n/a,59590,229180
4484335,The Outermaze,2013,Acid House,193472,1465949
10326348,Ego Death 003,2017,Techno / Dark Ambient,1247321,3778449
34136,Tangent 2002: Disco Nouveau,2002,Electro / Synth-pop / Disco,3020,194
